aX,aY,aZ,gX,gY,gZ
0.284,1.873,0.553,-33.180,5.390,45.290
0.383,2.146,0.711,-1.610,-9.660,77.280
0.417,2.379,0.800,37.940,-27.650,132.370
0.416,2.530,0.853,75.740,-45.920,164.080
0.369,2.503,0.758,88.130,-58.100,194.670
0.294,2.350,0.617,91.350,-61.250,214.620
0.181,2.188,0.577,77.840,-60.060,227.710
0.113,2.031,0.569,49.070,-56.910,232.540
0.020,1.859,0.510,11.060,-52.080,231.910
-0.021,1.709,0.438,-35.070,-46.900,231.630
-0.079,1.579,0.378,-62.860,-44.170,229.880
-0.120,1.477,0.298,-80.570,-42.840,227.990
-0.130,1.400,0.229,-93.800,-43.610,226.870
-0.138,1.335,0.126,-99.260,-43.610,226.660
-0.158,1.313,0.036,-94.990,-44.870,228.340
-0.106,1.314,-0.074,-88.340,-44.170,234.290
-0.050,1.339,-0.122,-66.640,-44.380,250.810
0.024,1.400,-0.101,-35.350,-45.360,272.020
0.058,1.315,0.057,-9.380,-51.800,288.820
0.002,1.075,0.175,-0.280,-57.890,294.910
-0.027,0.619,0.263,-5.810,-63.490,283.360
-0.009,0.346,0.350,-9.870,-69.160,269.640
0.035,0.129,0.355,-13.230,-76.020,253.820
0.096,-0.042,0.280,-17.710,-78.330,233.940
0.174,-0.187,0.202,-25.200,-80.080,208.320
0.265,-0.279,0.111,-24.150,-81.970,193.340
0.369,-0.407,-0.013,-19.110,-78.540,179.130
0.454,-0.540,-0.137,-11.830,-73.780,163.520
0.498,-0.677,-0.209,-5.320,-66.640,139.720
0.537,-0.775,-0.322,0.350,-51.800,119.910
0.559,-0.767,-0.326,-5.530,-32.760,99.400
0.611,-0.715,-0.324,-21.000,-16.800,73.710
0.656,-0.631,-0.295,-31.290,-2.660,55.860
0.700,-0.562,-0.216,-40.600,12.110,38.570
0.732,-0.508,-0.173,-53.130,23.310,20.650
0.744,-0.465,-0.123,-67.480,32.200,-5.810
0.746,-0.370,-0.133,-83.650,41.860,-24.570
0.768,-0.258,-0.101,-85.120,50.190,-40.040
0.793,-0.071,0.038,-78.750,52.220,-48.300
0.826,0.123,0.173,-64.960,47.320,-50.330
0.844,0.325,0.319,-41.160,36.540,-47.460
0.871,0.463,0.421,-23.030,22.190,-40.460
0.889,0.550,0.456,-6.650,1.820,-31.710
0.885,0.595,0.420,7.770,-9.310,-21.910
0.885,0.591,0.353,23.170,-16.870,-10.360
0.869,0.510,0.286,30.660,-20.860,-5.740
0.838,0.382,0.233,34.650,-21.560,-7.140
0.803,0.259,0.194,35.280,-20.580,-12.740
0.788,0.185,0.151,36.960,-19.880,-23.520
0.785,0.161,0.065,41.930,-16.800,-29.820
0.782,0.153,-0.069,111.930,-14.210,-31.850
0.772,0.047,0.131,73.710,-10.360,-42.490
0.782,0.049,0.159,74.550,-11.830,-50.260
0.790,0.090,0.173,57.960,-11.130,-53.620
0.817,0.217,0.155,54.740,-19.390,-54.110
0.718,0.001,-0.030,65.520,-10.220,-65.590
0.713,0.013,-0.017,45.220,7.000,-94.990
0.737,0.057,0.049,20.720,11.760,-119.210
0.777,0.238,-0.161,-5.950,34.370,-138.530
0.705,0.428,0.005,-205.940,31.430,-125.440
0.669,0.313,0.263,-217.910,101.290,-120.890
0.696,-0.506,0.469,-30.450,79.730,-188.230
0.685,1.447,0.560,-105.980,43.050,-160.720
0.788,0.941,0.242,-90.230,40.740,-154.770
0.759,1.139,0.082,-97.860,53.480,-134.120
0.711,0.978,0.348,-94.920,51.240,-120.470
0.682,1.054,0.658,-88.410,25.410,-103.880
0.734,1.026,0.686,-71.400,-7.840,-94.220
0.629,0.956,0.429,-72.310,-21.210,-90.020
0.647,1.031,0.347,-93.730,-22.820,-79.660
