aX,aY,aZ,gX,gY,gZ
0.294,1.549,-0.792,-29.400,91.490,44.450
0.305,1.678,-1.008,-38.850,141.400,64.820
0.231,1.616,-1.179,-59.080,184.240,79.730
0.158,1.616,-1.126,-105.700,224.000,97.230
0.048,1.484,-1.104,-135.380,265.720,105.980
-0.059,1.323,-0.993,-170.730,319.620,109.620
-0.207,1.069,-0.858,-206.430,347.970,106.540
-0.354,0.837,-0.508,-238.210,368.690,96.110
-0.461,0.460,-0.134,-260.050,375.060,85.120
-0.468,0.328,0.036,-252.630,376.950,76.090
-0.422,0.256,0.096,-229.740,379.260,70.280
-0.451,0.362,0.004,-169.400,385.490,69.930
-0.363,0.484,-0.268,-109.340,404.600,79.240
-0.362,0.442,-0.166,-54.180,416.220,83.020
-0.336,0.329,0.273,-10.500,407.610,82.810
-0.341,0.102,0.591,7.350,391.720,78.050
-0.362,-0.040,1.177,7.700,345.800,49.560
-0.313,0.080,1.329,0.560,303.380,33.180
-0.262,0.322,1.372,1.050,266.490,25.690
-0.163,0.745,1.314,20.790,231.980,37.870
-0.110,1.141,1.455,42.700,201.810,56.560
-0.076,1.160,1.416,65.520,173.600,87.850
-0.054,1.179,1.375,81.830,150.850,79.660
-0.010,1.022,1.205,77.280,132.090,72.940
-0.011,0.804,0.817,65.170,131.880,59.850
-0.116,0.698,0.878,56.210,121.310,45.570
-0.005,0.717,1.025,51.380,100.520,34.370
0.015,0.741,1.048,48.370,81.200,27.300
0.038,0.856,1.024,39.130,65.590,18.130
0.038,0.971,1.079,31.850,45.920,17.430
0.045,1.068,1.031,34.300,30.170,20.580
0.034,1.235,0.886,41.020,18.060,31.010
0.036,1.342,0.729,50.190,10.150,45.850
0.054,1.398,0.661,54.460,2.310,61.320
0.083,1.373,0.684,56.420,-3.710,74.200
0.098,1.347,0.693,57.540,-11.760,85.120
0.113,1.236,0.674,60.480,-19.600,91.350
0.117,1.102,0.631,59.010,-26.320,91.280
0.113,0.897,0.562,47.110,-30.170,80.990
0.115,0.628,0.515,34.580,-29.330,61.390
0.123,0.460,0.614,25.690,-33.180,36.540
0.133,0.418,0.648,17.640,-37.800,12.110
0.140,0.448,0.677,8.540,-42.980,-18.620
0.144,0.463,0.695,1.750,-47.530,-39.690
0.136,0.533,0.782,6.510,-57.330,-56.420
0.000,0.587,0.834,17.360,-77.700,-70.280
0.094,0.574,0.826,30.030,-91.000,-85.190
0.081,0.621,0.826,45.080,-105.490,-95.970
0.054,0.728,0.774,54.110,-119.980,-105.350
0.017,0.860,0.713,51.310,-131.180,-106.190
0.011,0.902,0.701,46.970,-160.230,-106.610
-0.021,0.849,0.683,43.960,-157.570,-110.180
-0.057,0.886,0.648,41.300,-167.860,-110.880
-0.073,1.006,0.546,26.530,-176.960,-108.430
-0.096,1.050,0.391,-5.040,-179.830,-108.150
-0.071,1.006,0.228,-37.870,-171.010,-112.560
-0.048,1.040,0.289,-55.720,-167.930,-113.610
-0.051,1.164,0.319,-56.070,-169.960,-105.350
-0.075,1.140,0.299,-40.390,-173.110,-98.280
-0.067,1.068,0.273,-9.240,-175.980,-91.980
-0.067,0.997,0.243,30.240,-178.360,-84.420
-0.073,0.938,0.201,69.440,-177.660,-80.430
-0.070,0.945,0.240,82.950,-178.990,-75.530
-0.071,0.900,0.346,80.290,-184.870,-75.530
-0.086,0.938,0.393,63.560,-189.280,-73.990
-0.086,1.023,0.522,36.330,-198.310,-66.780
-0.091,1.142,0.505,17.500,-206.150,-58.240
