aX,aY,aZ,gX,gY,gZ
0.673,0.719,0.109,1.330,-6.440,37.170
0.678,0.696,0.105,1.750,-7.420,23.660
0.685,0.685,0.092,2.730,-8.400,10.780
0.693,0.691,0.085,3.220,-8.750,-0.280
0.694,0.712,0.072,1.820,-8.610,-13.300
0.681,0.716,0.058,-0.280,-8.890,-21.980
0.663,0.711,0.054,-2.100,-9.520,-31.570
0.647,0.699,0.062,-2.520,-10.290,-42.070
0.640,0.697,0.068,-2.240,-10.570,-52.500
0.634,0.709,0.067,-1.820,-10.710,-65.310
0.611,0.723,0.062,-1.890,-11.480,-74.060
0.583,0.732,0.063,-1.610,-11.970,-82.180
0.562,0.742,0.074,-0.420,-12.810,-89.390
0.551,0.755,0.084,1.330,-13.510,-96.040
0.539,0.777,0.088,3.570,-14.280,-101.640
0.517,0.800,0.091,6.510,-15.120,-107.100
0.491,0.820,0.088,8.260,-16.240,-109.620
0.464,0.839,0.082,9.800,-17.010,-111.300
0.428,0.850,0.074,11.060,-17.850,-112.630
0.409,0.859,0.068,11.760,-18.130,-113.750
0.392,0.868,0.060,12.600,-18.130,-115.220
0.382,0.897,0.059,13.230,-17.780,-115.990
0.375,0.927,0.059,13.230,-17.220,-116.760
0.361,0.953,0.050,13.160,-16.310,-117.040
0.327,0.969,0.032,12.320,-14.560,-117.390
0.305,0.984,0.027,11.270,-13.510,-117.530
0.280,0.999,0.021,10.080,-12.110,-117.040
0.250,1.012,0.022,8.890,-11.130,-116.130
0.221,1.013,0.027,8.960,-10.220,-114.730
0.183,1.010,0.027,9.380,-9.520,-112.840
0.153,1.010,0.024,10.150,-9.100,-110.390
0.114,1.017,0.020,10.710,-8.960,-107.870
0.087,1.026,0.011,10.850,-8.540,-103.950
0.065,1.025,0.007,11.270,-8.820,-101.150
0.043,1.038,0.008,11.690,-9.100,-98.280
0.030,1.053,0.012,12.250,-9.170,-95.130
0.011,1.062,-0.002,12.530,-8.750,-91.630
-0.010,1.068,-0.017,12.180,-8.470,-88.060
-0.024,1.078,-0.020,10.850,-7.980,-83.300
-0.034,1.082,-0.020,9.590,-7.350,-79.870
-0.041,1.079,-0.022,8.610,-6.720,-76.650
-0.056,1.076,-0.023,8.330,-5.740,-73.150
-0.069,1.070,-0.027,7.980,-5.110,-69.230
-0.085,1.071,-0.024,7.560,-4.690,-66.080
-0.090,1.076,-0.023,7.140,-3.920,-63.070
-0.097,1.073,-0.022,7.000,-3.500,-60.060
-0.106,1.067,-0.024,6.720,-3.080,-56.210
-0.114,1.065,-0.026,6.510,-2.730,-53.270
-0.118,1.062,-0.022,6.580,-2.800,-50.680
-0.120,1.058,-0.020,6.790,-2.520,-47.670
-0.131,1.056,-0.020,7.000,-2.800,-44.170
-0.141,1.050,-0.024,7.140,-2.800,-41.790
-0.148,1.052,-0.025,7.280,-2.870,-39.270
-0.151,1.055,-0.023,7.140,-2.870,-36.820
-0.153,1.061,-0.029,6.930,-2.800,-34.230
-0.152,1.065,-0.033,5.740,-2.590,-30.940
-0.154,1.066,-0.037,4.690,-1.890,-28.490
-0.151,1.068,-0.036,3.640,-1.400,-26.250
-0.145,1.071,-0.035,2.940,-0.840,-23.450
-0.146,1.072,-0.032,2.310,-0.350,-20.930
-0.143,1.071,-0.031,1.890,0.280,-18.340
-0.143,1.073,-0.030,1.330,0.910,-15.890
-0.142,1.071,-0.031,0.840,1.190,-12.810
-0.146,1.058,-0.030,0.070,1.680,-10.640
-0.147,1.051,-0.027,-0.700,2.030,-8.610
-0.144,1.040,-0.029,-1.190,2.380,-7.210
-0.138,1.037,-0.022,-1.750,2.520,-5.670
-0.132,1.038,-0.019,-1.960,2.660,-3.920
-0.136,1.033,-0.018,-1.890,2.520,-2.660
-0.132,1.029,-0.010,-1.960,2.380,-1.680
-0.129,1.024,-0.010,-2.170,2.240,-0.840
-0.124,1.019,-0.009,-2.030,2.030,0.000
-0.123,1.019,-0.007,-2.030,1.680,0.490
-0.115,1.017,-0.007,-2.100,1.400,0.770
-0.111,1.016,-0.004,-1.890,1.470,1.260
-0.107,1.014,-0.004,-1.820,0.980,1.540
-0.103,1.022,-0.002,-1.820,0.770,1.890
-0.100,1.029,-0.003,-2.030,0.630,2.030
-0.099,1.034,-0.003,-2.380,0.280,2.450
-0.097,1.026,0.001,-2.450,0.000,2.520
-0.088,1.018,0.001,-2.520,-0.070,2.870
-0.085,1.021,0.004,-2.240,-0.350,2.800
-0.085,1.019,0.003,-2.030,-0.490,3.010
-0.080,1.025,0.003,-2.170,-0.350,3.220
-0.079,1.025,0.000,-2.170,-0.350,3.290
-0.078,1.020,0.001,-2.380,-0.210,3.430
-0.081,1.018,0.003,-2.590,-0.350,3.010
-0.077,1.015,0.005,-2.660,-0.350,2.800
-0.078,1.016,0.006,-2.520,-0.350,2.520
-0.074,1.009,0.007,-2.450,-0.280,2.100
-0.078,1.004,0.000,-2.450,-0.280,1.540
-0.076,0.998,0.007,-2.450,-0.350,1.050
-0.073,1.003,0.006,-2.450,-0.070,0.630
-0.077,1.004,0.002,-2.240,0.000,0.280
-0.089,1.001,-0.002,-2.100,0.000,-0.560
-0.083,0.998,-0.002,-2.030,0.210,-1.050
-0.080,1.006,0.001,-1.960,0.140,-1.540
-0.079,1.006,0.001,-1.750,0.070,-1.750
-0.079,1.007,-0.000,-1.540,0.140,-1.960
-0.090,1.009,-0.003,-1.470,-0.070,-2.100
-0.091,1.011,-0.005,-1.540,-0.280,-2.310
-0.092,1.009,-0.007,-1.610,-0.280,-2.100
-0.089,1.008,-0.007,-1.610,-0.420,-1.960
-0.093,1.012,-0.002,-1.540,-0.630,-2.030
-0.100,1.011,-0.001,-1.050,-0.700,-1.680
-0.096,1.009,-0.002,-0.770,-0.840,-1.540
-0.103,1.012,-0.006,-0.560,-1.330,-1.820
-0.105,1.007,-0.007,-0.490,-1.540,-1.540
-0.101,1.012,-0.001,-0.350,-1.820,-1.470
-0.105,1.016,-0.005,-0.280,-2.240,-1.260
-0.104,1.015,-0.005,-0.140,-2.660,-0.840
-0.108,1.016,-0.008,0.070,-2.940,-0.630
-0.105,1.012,-0.006,-0.070,-3.220,-0.420
-0.104,1.015,-0.008,0.210,-3.640,-0.350
-0.102,1.014,-0.007,0.000,-3.710,-0.140
-0.102,1.016,-0.004,0.350,-3.780,-0.070
-0.100,1.008,-0.006,0.280,-3.850,-0.140
-0.097,1.006,-0.004,0.490,-3.710,0.070
-0.096,1.008,-0.008,0.700,-3.710,-0.140
-0.221,1.268,-0.032,-16.030,7.840,79.590
-0.226,1.315,-0.035,-18.830,7.910,100.170
-0.239,1.341,-0.030,-22.680,8.260,115.290
-0.247,1.340,-0.026,-25.200,7.910,129.710
-0.233,1.335,-0.009,-27.230,7.350,143.500
-0.213,1.335,-0.004,-29.120,7.210,156.450
-0.199,1.317,-0.007,-30.870,7.350,172.340
-0.178,1.302,-0.005,-34.230,7.000,183.820
