aX,aY,aZ,gX,gY,gZ
0.144,1.070,-0.376,172.340,14.980,37.100
0.177,1.112,-0.442,164.360,16.730,35.210
0.201,1.134,-0.501,153.930,18.130,31.430
0.220,1.156,-0.545,142.730,21.280,26.530
0.213,1.163,-0.597,129.570,22.470,23.240
0.174,1.152,-0.611,115.430,23.380,20.230
0.153,1.160,-0.619,93.310,22.890,17.010
0.096,1.036,-0.656,83.790,22.890,21.980
0.073,1.011,-0.568,80.010,24.010,16.870
0.168,0.997,-0.624,75.740,16.590,11.970
0.119,1.018,-0.656,70.630,15.470,9.940
0.107,1.071,-0.694,55.230,14.700,11.900
0.146,1.104,-0.712,41.790,13.580,12.810
0.157,1.079,-0.725,29.050,12.180,12.950
0.146,1.033,-0.723,17.780,10.150,11.760
0.138,0.985,-0.697,8.820,7.490,10.220
0.144,0.948,-0.676,1.960,5.460,8.050
0.145,0.914,-0.662,-2.730,3.570,5.600
0.139,0.900,-0.661,-8.960,1.470,1.610
0.135,0.923,-0.670,-15.050,-0.420,-1.050
0.128,0.956,-0.670,-23.380,-2.170,-3.150
0.137,0.980,-0.654,-32.620,-3.080,-4.480
0.144,0.979,-0.641,-44.450,-3.920,-6.230
0.146,0.960,-0.502,-51.590,-4.900,-7.770
0.148,0.943,-0.597,-57.540,-5.600,-8.960
0.151,0.930,-0.580,-63.840,-6.230,-10.500
0.147,0.924,-0.568,-68.110,-6.860,-11.130
0.132,0.924,-0.552,-72.660,-7.840,-11.690
0.122,0.922,-0.541,-77.210,-8.680,-11.900
0.112,0.929,-0.526,-82.880,-9.520,-12.950
0.116,0.952,-0.504,-87.010,-10.290,-14.420
0.119,0.964,-0.492,-91.350,-11.060,-15.260
0.120,0.952,-0.487,-95.340,-11.620,-17.640
0.138,0.933,-0.478,-96.600,-12.180,-21.000
0.148,0.932,-0.448,-97.440,-13.790,-24.010
0.120,0.918,-0.428,-97.650,-14.490,-23.520
0.089,0.906,-0.407,-97.370,-15.680,-22.820
0.076,0.894,-0.377,-95.690,-16.240,-23.030
0.091,0.909,-0.351,-93.940,-16.520,-23.800
0.110,0.932,-0.348,-93.590,-16.800,-24.780
0.115,0.965,-0.344,-95.830,-16.590,-24.850
0.118,0.974,-0.328,-98.000,-16.030,-24.780
0.118,0.971,-0.304,-99.400,-15.820,-25.130
0.106,0.952,-0.278,-99.680,-15.750,-25.550
0.096,0.924,-0.257,-98.140,-15.750,-27.090
0.089,0.912,-0.239,-96.040,-15.470,-28.280
0.088,0.916,-0.219,-94.150,-15.120,-29.680
0.085,0.933,-0.205,-92.260,-14.770,-31.500
0.081,0.960,-0.195,-91.560,-14.210,-32.480
0.073,0.972,-0.186,-91.000,-13.440,-33.530
0.072,0.976,-0.172,-90.580,-12.810,-34.370
0.063,0.971,-0.155,-90.020,-12.600,-35.210
0.054,0.958,-0.140,-87.850,-12.320,-35.350
0.048,0.952,-0.116,-85.050,-12.250,-35.420
0.047,0.950,-0.089,-81.410,-12.250,-35.350
0.040,0.945,-0.084,-76.650,-12.110,-34.440
0.032,0.952,-0.073,-73.290,-11.760,-33.390
0.018,0.964,-0.069,-70.210,-11.690,-32.270
0.010,0.971,-0.060,-67.410,-11.200,-30.800
0.007,0.976,-0.050,-64.610,-10.780,-28.700
0.001,0.973,-0.040,-62.370,-10.220,-27.300
-0.003,0.972,-0.028,-59.920,-9.240,-25.900
-0.009,0.972,-0.018,-57.400,-8.820,-24.500
-0.015,0.974,-0.008,-54.180,-8.260,-23.240
-0.019,0.979,0.003,-51.870,-7.770,-21.490
-0.030,0.988,0.017,-49.280,-7.350,-19.810
-0.028,0.977,0.026,-45.430,-6.930,-18.060
-0.026,0.974,0.038,-42.700,-6.440,-16.940
-0.028,0.976,0.045,-39.830,-5.600,-16.240
-0.033,0.975,0.050,-37.170,-5.040,-15.330
-0.043,0.979,0.055,-33.740,-4.410,-13.860
-0.047,0.979,0.065,-31.570,-4.060,-12.740
-0.051,0.980,0.075,-29.120,-3.290,-11.690
-0.049,0.980,0.075,-27.020,-2.940,-10.220
-0.053,0.979,0.082,-24.010,-2.520,-9.450
-0.058,0.977,0.087,-21.490,-2.240,-8.540
-0.059,0.972,0.092,-19.250,-2.030,-7.910
-0.061,0.973,0.095,-16.170,-1.680,-7.000
-0.062,0.975,0.092,-14.210,-1.260,-6.440
-0.064,0.976,0.095,-12.250,-1.050,-5.880
-0.070,0.979,0.097,-10.430,-1.120,-5.530
-0.069,0.977,0.097,-7.840,-0.980,-5.110
-0.066,0.977,0.094,-6.160,-0.980,-5.040
-0.065,0.987,0.088,-4.480,-0.700,-4.760
-0.067,0.990,0.085,-3.290,-0.490,-4.550
-0.072,0.992,0.084,-1.960,-0.350,-4.270
-0.074,0.991,0.077,-1.330,-0.210,-4.270
-0.073,0.989,0.078,-0.280,-0.210,-4.270
-0.069,0.996,0.074,0.980,-0.140,-4.270
-0.071,1.004,0.069,1.820,0.210,-3.920
-0.070,1.008,0.062,2.240,0.280,-3.640
-0.071,1.013,0.057,2.450,0.560,-3.290
-0.068,1.012,0.052,2.590,0.910,-3.150
-0.069,1.011,0.048,2.590,1.120,-3.010
-0.070,1.016,0.042,2.450,1.400,-2.800
-0.067,1.021,0.041,2.240,1.820,-2.590
-0.063,1.025,0.038,2.240,2.100,-2.240
-0.060,1.033,0.037,1.960,2.450,-1.750
-0.062,1.030,0.035,1.400,2.730,-1.610
-0.064,1.025,0.032,0.910,3.010,-1.540
-0.064,1.023,0.035,0.700,3.080,-1.400
-0.063,1.024,0.034,0.490,3.150,-1.260
-0.064,1.026,0.037,0.420,3.010,-1.050
-0.062,1.032,0.034,-0.070,3.010,-0.770
-0.062,1.030,0.034,-0.560,3.080,-0.420
-0.063,1.027,0.035,-1.050,2.940,-0.350
-0.061,1.024,0.037,-1.470,2.800,-0.420
-0.062,1.025,0.038,-1.820,2.520,-0.350
-0.066,1.026,0.037,-1.960,2.310,-0.280
-0.065,1.023,0.036,-2.310,2.030,-0.140
